,,thin,thick,nn2,genhalf,ex64,ev2li
j-10-10-r-10-5,39,0.045336924493312836,0.15192897617816925,0.15761953592300415,0.3570767343044281,0.7894285917282104,0.03150768205523491
j-10-10-r-10-5,40,0.05672549456357956,0.1984628289937973,0.16984878480434418,0.34402161836624146,0.7502235770225525,0.10396938025951385
j-10-10-r-10-5,41,0.025158295407891273,0.25815248489379883,0.2571233808994293,0.35932785272598267,0.599997341632843,0.08856687694787979
j-10-10-r-10-5,42,0.07834124565124512,0.03237561136484146,0.21240541338920593,0.3724910020828247,0.7510075569152832,0.09123452752828598
j-10-10-r-10-5,43,0.048612840473651886,0.28325697779655457,0.11410694569349289,0.3478368818759918,0.7309819459915161,0.04378364607691765
j-10-10-r-10-5,44,0.19651669263839722,0.24396087229251862,0.25537747144699097,0.4069181978702545,0.7855410575866699,0.07383239269256592
j-10-10-r-10-5,45,0.12864483892917633,0.08894740045070648,0.32039764523506165,0.29785478115081787,0.7830795049667358,0.08276094496250153
j-10-10-r-10-5,46,0.07540954649448395,0.009126434102654457,0.26869598031044006,0.3045501708984375,0.6533799171447754,0.19401276111602783
j-10-10-r-10-5,47,0.04380369558930397,0.05071307346224785,0.07987458258867264,0.3309133052825928,0.7251063585281372,0.03134971857070923
j-10-10-r-10-5,48,0.04254846274852753,0.2502790093421936,0.177490696310997,0.32579702138900757,0.758210301399231,0.07312759011983871
j-10-10-r-10-5,49,0.0433080792427063,0.09487525373697281,0.22115793824195862,0.3186544179916382,0.753730058670044,0.01589255779981613
j-10-10-r-10-5,50,0.13570615649223328,0.10740353167057037,0.46925872564315796,0.33316469192504883,0.7052416205406189,0.22087709605693817
j-10-10-r-10-5,51,0.1395130455493927,0.08496713638305664,0.3562633991241455,0.2622282803058624,0.7424077391624451,0.16722184419631958
j-10-10-r-10-5,52,0.060555268079042435,0.22232410311698914,0.18770362436771393,0.3655551075935364,0.737805962562561,0.06115017458796501
j-10-10-r-10-5,53,0.005961913149803877,0.06834273040294647,0.15107278525829315,0.31354066729545593,0.7222363352775574,0.07413148880004883
j-10-10-r-10-5,54,0.0915091410279274,0.23109881579875946,0.36949798464775085,0.43710026144981384,0.7578738331794739,0.1188565343618393
j-10-10-r-10-5,55,0.06807422637939453,0.3239361643791199,0.14830796420574188,0.42021694779396057,0.6867868304252625,0.05872099846601486
j-10-10-r-10-5,56,0.05804155021905899,0.046043239533901215,0.291427880525589,0.3514588177204132,0.6537997722625732,0.17247670888900757
